LOTE,Fecha_Hora_Inicio,Fecha_Hora_Fin,ph1,ph2,ph3,turb1,turb2,turb3,linea1,linea2,linea3,ID bioreactor,Fecha/hora inicio,Fecha/hora fin,Volumen de cultivo,Turbidez inicio cultivo,Turbidez final culttivo,Viabilidad final cultivo,Orden en el encadenado,LOTE parental,ID Bioreactor,Fecha/hora inicio_cultivo_final,Fecha/hora fin_cultivo_final,Volumen de inóculo utilizado,Turbidez inicio cultivo_cultivo_final,Turbidez fin cultivo,Viabilidad final cultivo_cultivo_final,ID Centrífuga,Centrifugación 1 turbidez,Centrifugación 2 turbidez,Producto 1,Producto 2,media_PV,media_temp_bioreactor,media_ph_biorreactor,media_PO_biorreactor,Cantidad entregada
23/023,774000.0,604620.0,5.496,5.504,5.5200000000000005,28.32,27.92,32.0,1,1,0,14618,604680.0,607320.0,155.20000000000002,18.24,31.680000000000003,106400000.0,1,23702.064516129034,14615,604620.0,617400.0,77.60000000000001,17.12,74.4,132800000.0,17825,26.56,20.880000000000003,1861.84,2.9600000000000004,0.3687083188919252,29.44247367052799,6.002997759501542,23.39694469960392,13.7
23/024,774000.0,604620.0,5.496,5.504,5.5200000000000005,28.32,27.92,32.0,1,1,0,14618,604680.0,607320.0,155.20000000000002,18.24,31.680000000000003,106400000.0,1,23702.064516129034,14616,604440.0,607980.0,76.0,16.56,80.80000000000001,199200000.0,14246,24.56,10.4,2161.1200000000003,2.8000000000000003,0.0064984892579581085,29.44247367052799,6.002997759501542,23.39694469960392,13.7
23/025,0.0,692280.0,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,13172,692280.0,690960.0,157.60000000000002,16.96,27.6,84800000.0,1,23702.064516129034,13170,689940.0,694740.0,77.2,17.76,87.2,199200000.0,17825,30.64,29.360000000000003,2044.7200000000005,4.4799999999999995,0.4100781256975501,29.490283546211607,6.0172142396559956,23.917288909591267,13.7
23/026,0.0,692280.0,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,13172,692280.0,690960.0,157.60000000000002,16.96,27.6,84800000.0,1,23702.064516129034,14614,691140.0,695280.0,78.80000000000001,18.24,81.2,206400000.0,14246,26.480000000000004,11.6,2263.2000000000003,3.44,0.25330172057555267,29.490283546211607,6.0172142396559956,23.917288909591267,13.8
23/027,1378800.0,1231560.0,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,13172,1231560.0,1226880.0,168.0,18.880000000000003,23.52,104800000.0,1,23702.064516129034,14615,1220520.0,1231200.0,83.2,16.880000000000003,68.08,195200000.0,14246,26.24,9.840000000000002,1407.68,4.08,0.37778529139807826,29.232881997289557,23.857258584768818,42.530060152041344,13.7
23/028,1378800.0,1231560.0,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,13172,1231560.0,1226880.0,168.0,18.880000000000003,23.52,104800000.0,1,23702.064516129034,14616,1220640.0,1231320.0,83.60000000000001,18.56,67.2,176000000.0,17825,27.28,12.16,1373.2,4.720000000000001,0.5910141805247452,29.232881997289557,23.857258584768818,42.530060152041344,13.7
23/033,3193200.0,3045960.0,5.448,5.456,5.392,28.08,28.24,29.44,1,0,1,13172,3045960.0,3044280.0,165.60000000000002,16.96,24.24,104000000.0,1,23702.064516129034,14616,3042000.0,3049200.0,82.4,17.84,72.48,227200000.0,17825,29.12,16.0,1628.88,5.5200000000000005,0.4003047534991408,29.505477243788693,14.6147864514222,29.59357022324845,13.8
23/034,3193200.0,3045960.0,5.448,5.456,5.392,28.08,28.24,29.44,1,0,1,13172,3045960.0,3044280.0,165.60000000000002,16.96,24.24,104000000.0,1,23702.064516129034,14615,3042000.0,3049200.0,83.2,16.32,69.12,196800000.0,12912,24.0,16.0,1592.0,5.5200000000000005,0.4913916101303857,29.505477243788693,14.6147864514222,29.59357022324845,13.8
23/036,5526000.0,5358360.0,5.384,5.464,5.5280000000000005,35.44,32.96,25.760000000000005,1,1,0,13171,5358360.0,5359380.0,164.4,14.96,21.76,88000000.0,1,23702.064516129034,13170,5356800.0,5367900.0,82.0,16.400000000000002,65.92,142400000.0,14246,25.84,12.880000000000004,1403.44,4.24,0.007846549326418845,29.504274859539695,6.075869708614591,27.782275799649096,13.7
23/038,5612400.0,5444760.0,5.6240000000000006,5.5600000000000005,5.5520000000000005,36.4,25.28,24.4,0,1,1,14618,5444760.0,5446980.0,168.72000000000003,12.32,22.32,115200000.0,1,23702.064516129034,14615,5445000.0,5458500.0,83.60000000000001,15.28,67.92,145600000.0,14246,23.040000000000003,13.52,1674.6400000000003,4.4,0.007849821869940878,29.462926966027357,5.971082717166847,24.482091985714742,14.0
23/039,5612400.0,5444760.0,5.6240000000000006,5.5600000000000005,5.5520000000000005,36.4,25.28,24.4,0,1,1,14618,5444760.0,5446980.0,168.72000000000003,12.32,22.32,115200000.0,1,23702.064516129034,14616,5445000.0,5456700.0,80.4,17.84,67.2,122400000.0,17825,28.480000000000004,13.840000000000002,1487.44,3.6,0.405713065879225,29.462926966027357,5.971082717166847,24.482091985714742,13.7
23/040,6217200.0,6048360.0,5.5120000000000005,5.432,5.48,31.680000000000003,33.68,25.040000000000003,0,1,1,14618,6048360.0,6066780.0,165.60000000000002,13.92,32.32,154400000.0,1,23702.064516129034,13169,6064200.0,6067800.0,77.60000000000001,15.92,83.2,189866666.6666664,14246,27.44,23.727894736842106,2129.92,8.16,0.007780003400354376,29.458930640814806,5.949850743879225,22.805650567665474,13.8
23/041,6217200.0,6048360.0,5.5120000000000005,5.432,5.48,31.680000000000003,33.68,25.040000000000003,0,1,1,14618,6048360.0,6049980.0,165.60000000000002,13.92,24.480000000000004,107200000.0,1,23702.064516129034,14616,6047400.0,6051000.0,82.80000000000001,15.6,76.80000000000001,260000000.0,17825,23.28,21.36,1873.68,7.28,0.4027412371179726,29.46551777250572,5.960840260249285,24.2484350058801,13.8
23/042,6303600.0,6134760.0,5.5120000000000005,5.472,5.5200000000000005,24.8,27.12,26.960000000000004,0,1,0,13172,6134760.0,6133980.0,79.2,14.32,24.64,108800000.0,1,23702.064516129034,14614,6132300.0,6144600.0,79.2,15.28,68.96000000000001,209600000.0,17825,24.4,18.32,1609.7600000000002,6.4,0.4030141155390023,29.398865426792458,6.054716097155422,36.37047119647201,13.7
23/044,6822000.0,6654960.0,5.488,5.5520000000000005,5.5200000000000005,30.480000000000004,26.8,26.960000000000004,1,1,0,14618,6654960.0,6661980.0,84.0,14.480000000000002,19.680000000000003,75767200.0,1,23702.064516129034,14616,6659400.0,6679200.0,81.2,14.880000000000004,56.48,369600000.0,17825,23.200000000000003,11.6,1240.7040000000002,4.960000000000001,0.39999953886414624,29.40892385725984,6.232018554554988,39.44961738612714,13.7
23/043,7340400.0,7171860.0,5.5120000000000005,5.44,6.112,31.44,31.6,19.6,1,1,0,14618,7171860.0,7174080.0,84.0,13.2,24.24,87200000.0,1,23702.064516129034,14615,7173000.0,7185600.0,84.0,16.240000000000002,64.96000000000001,188000000.0,14246,24.64,18.56,1427.9120000000005,4.4799999999999995,0.4165037037913775,29.465889691338273,6.012795859045519,24.521279609245443,13.7
23/045,7340400.0,7171860.0,5.5120000000000005,5.44,6.112,31.44,31.6,19.6,1,1,0,14618,7171860.0,7174080.0,81.60000000000001,13.2,24.24,87200000.0,1,23702.064516129034,13170,7173000.0,7178400.0,81.60000000000001,16.72,72.8,174400000.0,17825,27.84,15.68,1613.808,6.0,0.40636405577296775,29.465889691338273,6.012795859045519,24.521279609245443,13.8
23/046,7426800.0,7263360.0,5.5840000000000005,5.5680000000000005,6.048,28.64,26.4,17.36,1,1,0,13172,7263360.0,7259280.0,82.80000000000001,13.2,23.36,86400000.0,1,23702.064516129034,14614,7259400.0,7267500.0,82.80000000000001,14.080000000000002,69.67999999999999,178400000.0,14246,21.76,14.64,2060.9919999999997,8.72,0.416953764360282,29.436133893648154,6.044000222947862,26.17388787219445,13.7
23/047,7426800.0,7263360.0,5.5840000000000005,5.5680000000000005,6.048,28.64,26.4,17.36,1,1,0,13172,7263360.0,7259280.0,83.2,13.2,23.36,86400000.0,1,23702.064516129034,14616,7259400.0,7263900.0,83.2,18.72,72.08,162133333.3333336,17825,26.64,19.28,1697.6008000000002,6.88,0.4046095758515107,29.436133893648154,6.044000222947862,26.17388787219445,13.8
23/048,8031600.0,7861860.0,5.6240000000000006,5.5120000000000005,5.5200000000000005,29.52,29.200000000000003,28.72,0,1,1,13171,7862160.0,7864080.0,165.60000000000002,14.16,27.04,86400000.0,1,23702.064516129034,14615,7861500.0,7870500.0,81.60000000000001,16.0,67.04,165600000.0,14246,21.840000000000003,20.0,1393.072,5.6000000000000005,0.06497195830325854,29.448862223648362,6.127978515625002,22.74086951190443,13.8
23/049,8031600.0,7861860.0,5.6240000000000006,5.5120000000000005,5.5200000000000005,29.52,29.200000000000003,28.72,0,1,1,13171,7862160.0,7864080.0,165.60000000000002,14.16,27.04,86400000.0,1,23702.064516129034,14616,7861500.0,7870500.0,82.4,14.96,68.8,163200000.0,17825,21.28,24.880000000000003,1766.4688,7.52,0.3672443378859865,29.448862223648362,6.127978515625002,22.74086951190443,13.7
23/050,8118000.0,7949160.0,5.5280000000000005,5.488,5.408,25.92,25.760000000000005,26.960000000000004,1,0,1,14618,7949760.0,7953180.0,167.20000000000002,14.240000000000002,25.200000000000003,82400000.0,1,23702.064516129034,14614,7950600.0,7954200.0,83.2,16.16,75.28,129600000.0,17825,24.32,21.36,1755.072,6.800000000000001,0.2059647280587318,29.459828245486168,775.9694580194883,25.817549373540718,13.8
23/051,8118000.0,7949160.0,5.5280000000000005,5.488,5.408,25.92,25.760000000000005,26.960000000000004,1,0,1,14618,7949760.0,7953180.0,167.20000000000002,14.240000000000002,25.200000000000003,82400000.0,1,23702.064516129034,13170,7950600.0,7963200.0,80.0,14.8,49.760000000000005,211200000.0,14246,22.08,13.76,1225.824,5.68,0.3782549204866965,29.459828245486168,775.9694580194883,25.817549373540718,13.7
23/054,8636400.0,8468460.0,5.5200000000000005,5.496,5.5120000000000005,27.28,28.960000000000004,28.72,1,1,0,14618,8468460.0,8470980.0,163.20000000000002,14.56,26.0,85600000.0,1,23702.064516129034,13170,8469900.0,8473500.0,81.42153846153846,17.040000000000003,65.28,192800000.0,14246,24.16,28.880000000000003,1683.0560000000005,7.76,0.38847577605518396,29.4655460168064,6.056695644379881,24.696855165487573,13.7
23/055,8636400.0,8468460.0,5.5200000000000005,5.496,5.5120000000000005,27.28,28.960000000000004,28.72,1,1,0,14618,8468460.0,8470980.0,163.20000000000002,14.56,26.0,85600000.0,1,23702.064516129034,14615,8469900.0,8473500.0,81.42153846153846,17.12,81.60000000000001,169066666.6666664,17825,26.64,23.840000000000003,1563.008,8.08,0.27022348603486357,29.4655460168064,6.056695644379881,24.696855165487573,13.7
23/056,9154800.0,8989860.0,5.5680000000000005,5.48,5.5440000000000005,40.64,30.32,31.760000000000005,0,1,1,13171,8989860.0,8992080.0,168.8,14.16,27.04,112000000.0,1,23702.064516129034,13170,8989500.0,8992800.0,84.0,18.72,81.60000000000001,205600000.0,14246,29.360000000000003,23.44,1699.68,6.88,0.4316825764761762,29.465339495475245,6.095999908447266,21.86709048122519,13.7
23/057,9154800.0,8989860.0,5.5680000000000005,5.48,5.5440000000000005,40.64,30.32,31.760000000000005,0,1,1,13171,8989860.0,8992080.0,168.8,14.16,27.04,112000000.0,1,23702.064516129034,14614,8989500.0,8995500.0,84.0,27.04,73.2,173600000.0,17825,27.12,21.200000000000003,1786.2400000000002,5.920000000000001,0.41357215248325274,29.465339495475245,6.095999908447266,21.86709048122519,13.7
23/060,9241200.0,9072360.0,5.5360000000000005,5.5120000000000005,5.5280000000000005,29.680000000000003,30.8,31.52,1,1,0,14618,9072360.0,9074580.0,166.4,16.080000000000002,27.6,103200000.0,1,23702.064516129034,14615,9072000.0,9079200.0,82.4,15.04,71.76,140800000.0,14246,23.840000000000003,20.24,1688.2400000000002,7.120000000000001,0.4325059914655879,29.476147474409174,6.024530563636992,26.945445125319466,13.9
23/061,9241200.0,9072360.0,5.5360000000000005,5.5120000000000005,5.5280000000000005,29.680000000000003,30.8,31.52,1,1,0,14618,9072360.0,9074580.0,166.4,16.080000000000002,27.6,103200000.0,1,23702.064516129034,14616,9072000.0,9079200.0,82.0,17.84,73.36,145600000.0,17825,25.760000000000005,20.96,1967.84,7.28,0.4132012179825131,29.476147474409174,6.024530563636992,26.945445125319466,13.7
23/063,9759600.0,9591660.0,5.504,5.496,5.456,30.56,30.24,41.28,1,1,0,14618,9591660.0,9593880.0,166.4,16.16,22.8,101600000.0,1,23702.064516129034,14615,9590700.0,9608700.0,83.2,17.6,68.32000000000001,113600000.0,14246,25.52,15.76,1790.16,5.920000000000001,0.0072822892868633195,29.47206863700829,6.085974317807437,26.380484380040993,13.7
23/064,9846000.0,9676560.0,5.408,5.464,5.464,29.28,31.200000000000003,28.4,1,1,0,13171,9676560.0,9678780.0,165.12,15.92,24.880000000000003,112000000.0,1,23702.064516129034,13170,9678000.0,9681900.0,80.80000000000001,16.48,81.60000000000001,118400000.0,14246,27.12,26.56,1821.76,7.440000000000001,0.4879900112612545,29.456691815460132,5.883813985188802,26.16459736571964,13.8
23/065,9846000.0,9676560.0,5.408,5.464,5.464,29.28,31.200000000000003,28.4,1,1,0,13171,9676560.0,9678780.0,165.12,15.92,24.880000000000003,112000000.0,1,23702.064516129034,14616,9678000.0,9687300.0,81.2,18.880000000000003,74.88,150400000.0,17825,27.680000000000003,20.24,1977.52,6.640000000000001,0.0006835687858513245,29.456691815460132,5.883813985188802,26.16459736571964,13.8
23/067,10364400.0,10195560.0,5.656000000000001,5.5440000000000005,5.5200000000000005,24.72,27.760000000000005,25.36,0,1,1,13171,10195560.0,10198080.0,168.0,16.080000000000002,25.52,130400000.0,1,23702.064516129034,14615,10195200.0,10206900.0,84.0,18.08,60.720000000000006,153600000.0,14246,23.6,16.880000000000003,1793.12,5.84,0.007335255213516434,29.454852796020955,6.347942267702824,23.589322579730275,13.8
23/068,10450800.0,10282260.0,5.640000000000001,5.6240000000000006,5.5840000000000005,26.24,35.28,26.480000000000004,0,1,1,13172,10282260.0,10284480.0,165.60000000000002,14.16,21.92,131200000.0,1,23702.064516129034,13170,10283700.0,10286700.0,82.0,16.400000000000002,72.96000000000001,158400000.0,14246,24.16,22.56,1743.28,6.96,0.41506757352916285,29.492106929975538,14.327034817310144,35.56596625578874,13.8
23/069,10450800.0,10282260.0,5.640000000000001,5.6240000000000006,5.5840000000000005,26.24,35.28,26.480000000000004,0,1,1,13172,10282260.0,10284480.0,165.60000000000002,14.16,21.92,131200000.0,1,23702.064516129034,14616,10281600.0,10287000.0,82.0,17.040000000000003,63.6,153600000.0,17825,23.680000000000003,18.4,1548.88,5.6000000000000005,0.41368829380647604,29.492106929975538,14.327034817310144,35.56596625578874,13.7
23/070,10969200.0,10803960.0,5.44,5.5200000000000005,5.464,30.960000000000004,33.68,29.52,1,1,0,13171,10803960.0,10806780.0,164.0,14.240000000000002,26.32,86400000.0,1,23702.064516129034,14615,10804200.0,10807800.0,80.0,17.52,62.720000000000006,91200000.0,14246,25.680000000000003,15.44,1853.28,5.44,0.43166440507502235,29.454604100332066,5.913402061855671,24.403834857440998,13.6
23/071,11055600.0,10884960.0,5.472,5.48,5.496,27.52,26.56,30.480000000000004,1,1,0,14618,10884960.0,10887180.0,167.76,12.72,25.52,76800000.0,1,23702.064516129034,13170,10884600.0,10891200.0,82.0,18.0,77.2,173600000.0,14246,28.160000000000004,26.8,2162.48,7.6,0.43227123128768274,29.472385821787892,5.970030681168758,25.9703842145932,13.8
23/072,11055600.0,10884960.0,5.472,5.48,5.496,27.52,26.56,30.480000000000004,1,1,0,14618,10884960.0,10887180.0,167.76,12.72,25.52,76800000.0,1,23702.064516129034,14616,10884600.0,10891800.0,80.80000000000001,16.64,69.04,138400000.0,17825,24.4,22.72,1832.96,6.08,0.41430681516235657,29.472385821787892,5.970030681168758,25.9703842145932,13.8
23/073,11574000.0,11403960.0,5.5200000000000005,5.5200000000000005,5.504,31.52,30.56,34.24,1,0,1,13171,11403960.0,11413680.0,168.0,15.36,29.84,111200000.0,1,23702.064516129034,13169,11411100.0,11417400.0,82.4,17.76,71.52000000000001,160000000.0,14246,30.160000000000004,26.4,1756.56,6.56,0.052389595307404224,29.450682310745513,6.007847504388718,24.171030712277158,13.9
23/075,11574000.0,11404260.0,5.464,5.5200000000000005,5.5200000000000005,42.56,29.200000000000003,26.960000000000004,1,0,0,13171,11403960.0,11413680.0,168.0,15.36,29.84,111200000.0,1,23702.064516129034,14616,11411100.0,11418300.0,82.80000000000001,17.84,70.64,148800000.0,17825,30.8,20.56,1985.4400000000005,6.48,0.04888774937823422,29.450682310745513,6.007847504388718,24.171030712277158,13.9
23/076,11660400.0,11489760.0,5.376,5.5200000000000005,5.5200000000000005,34.88,29.200000000000003,26.960000000000004,1,0,0,14618,11489760.0,11491980.0,84.16000000000001,14.16,25.36,92000000.0,1,23702.064516129034,13170,11489400.0,11494500.0,84.16000000000001,17.919999999999998,77.2,176000000.0,17825,30.880000000000003,26.4,1670.464,8.08,0.4183732955725183,29.40996582529534,6.141187565447165,33.328140784564795,13.8
23/077,14598000.0,14430060.0,5.424,5.44,5.5200000000000005,30.960000000000004,32.160000000000004,26.960000000000004,1,1,0,13171,14430060.0,14447580.0,160.16,18.24,26.56,83200000.0,1,23702.064516129034,13170,14445000.0,14448600.0,78.4,26.24,70.96000000000001,157600000.0,14246,30.0,20.72,2151.536,9.12,0.007978268735929883,29.42197334490921,19.812114467019356,38.0174819208541,13.7
23/078,14598000.0,14430060.0,5.424,5.44,5.5200000000000005,30.960000000000004,32.160000000000004,26.960000000000004,1,1,0,13171,14430060.0,14433180.0,160.16,18.24,26.56,83200000.0,1,23702.064516129034,14614,14430600.0,14439600.0,80.0,18.0,73.2,147200000.0,17825,31.760000000000005,20.8,1470.5280000000002,5.2,0.0016791078809960597,29.46440907125645,5.884931185492171,25.870262085858208,13.7
23/079,14684400.0,14516460.0,5.312,5.424,5.456,50.64,27.680000000000003,41.04,1,0,1,13172,14516460.0,14519580.0,164.0,14.56,28.160000000000004,92800000.0,1,23702.064516129034,14615,14518800.0,14524200.0,82.0,18.64,84.80000000000001,145600000.0,14246,31.760000000000005,31.680000000000003,2045.864,7.120000000000001,0.3809552013961469,29.462144170739986,5.967101980715382,24.992720739208064,13.8
23/080,14684400.0,14516460.0,5.312,5.424,5.456,50.64,27.680000000000003,41.04,1,0,1,13172,14516460.0,14519580.0,164.0,14.56,28.160000000000004,92800000.0,1,23702.064516129034,14616,14518800.0,14522400.0,80.80000000000001,18.8,83.2,129600000.0,17825,22.64,22.8,1758.168,7.840000000000001,0.5950763507189691,29.462144170739986,5.967101980715382,24.992720739208064,13.7
23/081,15375600.0,15207660.0,5.496,5.5200000000000005,5.504,28.4,29.200000000000003,28.0,1,0,1,13171,15207660.0,15208080.0,166.4,14.64,24.480000000000004,79840000.0,1,23702.064516129034,14615,15205500.0,15219000.0,82.80000000000001,18.24,49.36000000000001,104000000.0,17825,28.960000000000004,15.36,1262.928,3.44,0.16371382940215257,29.491522668533687,5.9830869636169,27.237336987303973,13.8
23/082,15375600.0,15207660.0,5.496,5.5200000000000005,5.504,28.4,29.200000000000003,28.0,1,0,1,13171,15207660.0,15208080.0,166.4,14.64,24.480000000000004,79840000.0,1,23702.064516129034,14616,15205500.0,15229800.0,82.0,16.32,67.67999999999999,155200000.0,14246,30.160000000000004,21.12,1821.016,6.16,0.20428768540005762,29.491522668533687,5.9830869636169,27.237336987303973,13.7
23/083,15289200.0,15122160.0,5.424,5.5200000000000005,5.448,29.200000000000003,29.200000000000003,30.480000000000004,1,0,1,13172,15122160.0,15124380.0,167.20000000000002,14.72,28.4,91200000.0,1,23702.064516129034,14617,15121800.0,15126900.0,82.80000000000001,16.96,54.16,70400000.0,17825,142.4,156.96,1640.6080000000002,5.5200000000000005,0.0016241521464322862,29.481483245176126,5.974395501422706,25.21426079016256,13.6
23/084,15289200.0,15122160.0,5.424,5.5200000000000005,5.448,29.200000000000003,29.200000000000003,30.480000000000004,1,0,1,13172,15122160.0,15124380.0,167.20000000000002,14.72,28.4,91200000.0,1,23702.064516129034,13169,15121800.0,15132600.0,81.60000000000001,17.44,83.2,140000000.0,14246,168.8,151.76,2132.976,7.840000000000001,0.007894344019364832,29.481483245176126,5.974395501422706,25.21426079016256,13.8
23/085,16412400.0,16246260.0,5.496,5.464,5.208,30.8,30.32,28.480000000000004,1,1,0,13171,16246260.0,16248480.0,160.0,15.44,29.44,100000000.0,1,23702.064516129034,13170,16245900.0,16254900.0,84.0,16.32,64.8,158400000.0,14246,28.72,17.680000000000003,1662.92,4.4799999999999995,0.43154253993693925,29.491470834469173,-788.256000895731,21.932183149900585,13.9
23/086,16412400.0,16246260.0,5.496,5.464,5.208,30.8,30.32,28.480000000000004,1,1,0,13171,16246260.0,16248480.0,160.0,15.44,29.44,100000000.0,1,23702.064516129034,14614,16245900.0,16257000.0,83.2,16.16,64.24,124000000.0,17825,30.4,22.24,1533.04,4.16,0.40736564875827513,29.491470834469173,-788.256000895731,21.932183149900585,14.0
23/087,16498800.0,16329960.0,5.48,5.456,5.496,29.680000000000003,31.84,30.4,1,1,0,14618,16329960.0,16339380.0,160.0,15.04,27.44,82480000.0,1,23702.064516129034,14617,16336800.0,16344000.0,81.2,18.32,70.56,131200000.0,14246,36.64,44.0,1096.584,4.64,0.4321802024922171,29.484464005647368,13.526287036258855,32.553940839331624,13.8
23/088,16498800.0,16329960.0,5.48,5.456,5.496,29.680000000000003,31.84,30.4,1,1,0,14618,16329960.0,16339380.0,160.0,15.04,27.44,82480000.0,1,23702.064516129034,14616,16336800.0,16346700.0,80.80000000000001,18.96,77.84,158400000.0,17825,31.680000000000003,21.680000000000003,2150.576,6.08,0.4072482047895537,29.484464005647368,13.526287036258855,32.553940839331624,13.7
23/089,17001000.0,16851960.0,5.36,5.392,5.416,37.12,49.44,32.88,1,1,0,14618,16851960.0,16854180.0,160.0,16.8,26.56,86400000.0,1,23702.064516129034,13169,16851600.0,16855200.0,82.4,18.32,63.04,145600000.0,17825,30.4,17.84,1710.4080000000004,5.44,0.0020677540273759047,29.536118495069314,5.925645642009684,24.548216449553376,13.7
23/090,17001000.0,16851960.0,5.36,5.392,5.416,37.12,49.44,32.88,1,1,0,14618,16851960.0,16854180.0,160.0,16.8,26.56,86400000.0,1,23702.064516129034,14614,16851600.0,16860600.0,81.60000000000001,17.680000000000003,60.08,140800000.0,12912,26.960000000000004,13.2,1264.96,5.36,-0.005461754296714042,29.536118495069314,5.925645642009684,24.548216449553376,13.7
23/091,17087400.0,16934760.0,5.5120000000000005,5.472,5.5200000000000005,37.760000000000005,32.72,34.56,1,1,0,13172,16934760.0,16940580.0,160.0,15.44,25.6,96000000.0,1,23702.064516129034,14615,16938000.0,16945200.0,82.0,14.56,65.12,126400000.0,14246,24.64,31.92,1491.48,5.5200000000000005,0.6140075322045384,29.5565391912064,5.963357266915597,25.243127077023807,13.8
23/092,17087400.0,16934760.0,5.5120000000000005,5.472,5.5200000000000005,37.760000000000005,32.72,34.56,1,1,0,13172,16934760.0,16940580.0,160.0,15.44,25.6,96000000.0,1,23702.064516129034,14616,16938000.0,16949700.0,82.0,18.56,74.4,161600000.0,17825,26.32,27.12,1439.848,8.24,0.3749710851860516,29.5565391912064,5.963357266915597,25.243127077023807,13.8
